sitios;Lat;Long;Rangos Prof.;Región;T ;Sal;Den;O2%;Chla;Ptrars;Orthyc;Gzolvc;Nclncs;Arczbr;Mcmtnt;Trgnca;Lvcrds;Xnphrl;Nclnac;Prpmsd;Tllnpr;Csmsp.;Abrlng;Plystt;Nmcrdt;Pctnch;Aqpctl;Nldltt;Nmcrdp;Brbtcn;Llsp.1;Lptchb;Prtlnn;Lvdntc;Tllnpr;Smrsst;Ccclnm;Prmymr;Mcmpsd;Lvcrdl;Tllnmr;Nclplc;Clyptc;Prmyrs;Scphwr;Flgrfb;Nsssp.;Nelsp.;Mlnclr;Nclnvt;Tllnjt;Lcsyrv;Crdmyp;Plrbri;Ntcrth;Nclsp.;Cccsp.;Lvcrdp;Antsp.;Tndrcy;Cmpsdg;Orthys;Pzllor;Sirtsb;Entlnp;Ccclnr;Dntlma;Cplsp.
48;11,89;-72,62;20-90;N;24,442611;36,755939;25,139944;6,1338889;0,34545455;0;0;0;0;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;28;0;0;0;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0
49;11,43;-73,46;20-90;N;25,783833;36,744591;24,508148;6,9725;0,2;0;0;0;16;291;1;0;37;0;0;0;0;0;0;1;4;8;0;0;0;43;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;39;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;11;0;0;0;0;0
50;11,4;-73,47;100-150;N;22,03525;36,740886;26,184838;5,5466667;0,1;17;0;0;7;17;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;2;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1
51;11,29;-73,46;20-90;N;24,7206;36,704709;25,021043;6,11;0,33;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;36;0;0;8;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;11,31;-73,78;20-90;N;25,911458;36,609477;24,361868;6,79875;0,275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;11,34;-73,77;20-90;N;24,724958;36,705545;25,016047;6,12;0,3125;0;0;0;0;7;50;0;66;0;2;0;27;0;0;0;6;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
54;11,34;-74,09;100-150;N;22,03525;36,740886;26,184838;5,5466667;0,1;0;0;0;0;0;1;0;9;0;0;0;1;0;0;0;26;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;1;0;0;0;2;0;0;0;0;0
55;11,36;-74,11;370-550;N;8,4097083;34,853318;29,367718;5,1504167;0,006818182;0;8;0;0;0;0;0;0;0;6;0;1;0;8;1;0;0;0;0;0;0;0;0;0;2;0;9;5;0;0;47;0;0;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;11,39;-74,14;20-90;N;26,57025;36,368659;24,002197;6,9441667;0,37272727;0;43;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;1;0;0;0;0;5;43;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;20;6;0;4;0;0;0;0;0;0;0;0;0;0
57;11,39;-74,18;20-90;N;24,596583;36,68575;25,061643;6,2545833;0,27727273;0;33;0;0;0;6;0;0;0;0;0;2;0;0;0;8;34;0;0;0;21;1;0;0;0;3;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
